,ObjectTable,us_node_id,us_node_id_flag,link_suffix,link_suffix_flag,ds_node_id,ds_node_id_flag,link_type,link_type_flag,asset_id,asset_id_flag,sewer_reference,sewer_reference_flag,system_type,system_type_flag,branch_id,branch_id_flag,point_array,is_merged,asset_uid,x0,y0
81,hw_conduit,33-472017,,1,,33-472018,,Cond,,6907,,,,sanitary,,,,"{2296986.6553942281752825,144264.8599589770601597,2297012.4816163880750537,144295.3503221771679819}",,,2296986.6553942281752825,144264.8599589770601597
82,hw_conduit,33-472018,,1,,33-472043,,Cond,,17395,,,,sanitary,,,,"{2297012.4816163880750537,144295.3503221771679819,2297044.1644486282020807,144288.2154113771684933}",,,2297012.4816163880750537,144295.3503221771679819
83,hw_conduit,33-472020,,1,,33-472037,,Cond,,17648,,,,sanitary,,,,"{2297033.4265579883940518,144316.1344512972573284,2297070.6869406681507826,144303.0176880972285289}",,,2297033.4265579883940518,144316.1344512972573284
84,hw_conduit,33-472021,,1,,33-472020,,Cond,,6898,,,,sanitary,,,,"{2296987.3535995879210532,144346.1162861773918848,2297033.4265579883940518,144316.1344512972573284}",,,2296987.3535995879210532,144346.1162861773918848
85,hw_conduit,33-472022,,1,,33-472042,,Cond,,6887,,,,sanitary,,,,"{2296948.3578381077386439,144419.5231904176762328,2296975.0330654280260205,144369.1168294574890751}",,,2296948.3578381077386439,144419.5231904176762328
86,hw_conduit,33-472025,,1,,33-472046,,Cond,,17392,,,,sanitary,,,,"{2297131.2100860686041415,144273.9569283371092752,2297143.5248290286399424,144267.1239524170814548}",,,2297131.2100860686041415,144273.9569283371092752
87,hw_conduit,33-472027,,1,,33-472036,,Cond,,16579,,,,sanitary,,,,"{2297277.0683160689659417,144301.3640566572139505,2297388.1148808696307242,144303.3940246572310571}",,,2297277.0683160689659417,144301.3640566572139505
88,hw_conduit,33-472035,,1,,36-472001,,Cond,,16577,,,,sanitary,,,,"{2297517.3004746702499688,144334.4699696173483972,2297616.9525486705824733,144417.2625802576658316}",,,2297517.3004746702499688,144334.4699696173483972
89,hw_conduit,33-472036,,1,,33-472035,,Cond,,16578,,,,sanitary,,,,"{2297388.1148808696307242,144303.3940246572310571,2297517.3004746702499688,144334.4699696173483972}",,,2297388.1148808696307242,144303.3940246572310571
90,hw_conduit,33-472037,,1,,33-472025,,Cond,,22015,,,,sanitary,,,,"{2297070.6869406681507826,144303.0176880972285289,2297131.2100860686041415,144273.9569283371092752}",,,2297070.6869406681507826,144303.0176880972285289
91,hw_conduit,33-472040,,1,,33-472041,,Cond,,6926,,,,sanitary,,,,"{2296850.6914294273592532,144136.753921056544641,2296934.4138629478402436,144171.2485637766949367}",,,2296850.6914294273592532,144136.753921056544641
92,hw_conduit,33-472041,,1,,33-472017,,Cond,,6923,,,,sanitary,,,,"{2296934.4138629478402436,144171.2485637766949367,2296986.6553942281752825,144264.8599589770601597}",,,2296934.4138629478402436,144171.2485637766949367
93,hw_conduit,33-472042,,1,,33-472021,,Cond,,6892,,,,sanitary,,,,"{2296975.0330654280260205,144369.1168294574890751,2296987.3535995879210532,144346.1162861773918848}",,,2296975.0330654280260205,144369.1168294574890751
94,hw_conduit,33-472043,,1,,33-472044,,Cond,,17394,,,,sanitary,,,,"{2297044.1644486282020807,144288.2154113771684933,2297107.0597152686677873,144281.1978790571447462}",,,2297044.1644486282020807,144288.2154113771684933
95,hw_conduit,33-472044,,1,,33-472045,,Cond,,17393,,,,sanitary,,,,"{2297107.0597152686677873,144281.1978790571447462,2297134.6173538286238909,144264.5560428970784415}",,,2297107.0597152686677873,144281.1978790571447462
96,hw_conduit,33-472045,,1,,33-472046,,Cond,,17391,,,,sanitary,,,,"{2297134.6173538286238909,144264.5560428970784415,2297143.5248290286399424,144267.1239524170814548}",,,2297134.6173538286238909,144264.5560428970784415
97,hw_conduit,33-472046,,1,,33-472047,,Cond,,17390,,,,sanitary,,,,"{2297143.5248290286399424,144267.1239524170814548,2297194.9371214285492897,144281.9904809771396685}",,,2297143.5248290286399424,144267.1239524170814548
98,hw_conduit,33-472047,,1,,33-472048,,Cond,,17389,,,,sanitary,,,,"{2297194.9371214285492897,144281.9904809771396685,2297286.7894243891350925,144294.1921736171934754}",,,2297194.9371214285492897,144281.9904809771396685
99,hw_conduit,33-472048,,1,,33-472049,,Cond,,15356,,,,sanitary,,,,"{2297286.7894243891350925,144294.1921736171934754,2297408.7089367099106312,144294.5451624971756246}",,,2297286.7894243891350925,144294.1921736171934754
100,hw_conduit,33-472049,,1,,33-472050,,Cond,,15355,,,,sanitary,,,,"{2297408.7089367099106312,144294.5451624971756246,2297458.1619442296214402,144299.3136670571984723}",,,2297408.7089367099106312,144294.5451624971756246
101,hw_conduit,33-472050,,1,,33-472051,,Cond,,15354,,,,sanitary,,,,"{2297458.1619442296214402,144299.3136670571984723,2297517.943678870331496,144327.6130973773251753}",,,2297458.1619442296214402,144299.3136670571984723
102,hw_conduit,33-472051,,1,,36-472003,,Cond,,15353,,,,sanitary,,,,"{2297517.943678870331496,144327.6130973773251753,2297548.8960274304263294,144345.3247205773950554}",,,2297517.943678870331496,144327.6130973773251753
103,hw_conduit,33-474018,,1,,33-474023,,Cond,,6003,,,,sanitary,,,,"{2296655.6144307069480419,144754.7049228990217671,2296670.4082949468865991,144696.5454862588085234}",,,2296655.6144307069480419,144754.7049228990217671
104,hw_conduit,33-474023,,1,,33-474024,,Cond,,14956,,,,sanitary,,,,"{2296670.4082949468865991,144696.5454862588085234,2296695.3076812666840851,144628.0725624985061586}",,,2296670.4082949468865991,144696.5454862588085234
105,hw_conduit,33-474024,,1,,33-474025,,Cond,,6025,,,,sanitary,,,,"{2296695.3076812666840851,144628.0725624985061586,2296714.0784235070459545,144613.5635643384594005}",,,2296695.3076812666840851,144628.0725624985061586
106,hw_conduit,33-474025,,1,,33-474028,,Cond,,6024,,,,sanitary,,,,"{2296714.0784235070459545,144613.5635643384594005,2296768.6560943871736526,144616.8043198584637139}",,,2296714.0784235070459545,144613.5635643384594005
107,hw_conduit,33-474028,,1,,33-474029,,Cond,,6034,,,,sanitary,,,,"{2296768.6560943871736526,144616.8043198584637139,2296827.1817787075415254,144586.0777366583351977}",,,2296768.6560943871736526,144616.8043198584637139
108,hw_conduit,33-474029,,1,,33-474138,,Cond,,12473,,,,sanitary,,,,"{2296827.1817787075415254,144586.0777366583351977,2296868.5677665476687253,144529.2306164181209169}",,,2296827.1817787075415254,144586.0777366583351977
109,hw_conduit,33-474030,,1,,33-474031,,Cond,,6066,,,,sanitary,,,,"{2296882.808784547727555,144510.3311876180523541,2296895.3201692276634276,144489.9221148979559075}",,,2296882.808784547727555,144510.3311876180523541
110,hw_conduit,33-474031,,1,,33-472022,,Cond,,14664,,,,sanitary,,,,"{2296895.3201692276634276,144489.9221148979559075,2296948.3578381077386439,144419.5231904176762328}",,,2296895.3201692276634276,144489.9221148979559075
111,hw_conduit,33-474084,,1,,33-474123,,Cond,,12479,,,,sanitary,,,,"{2297328.4621680695563555,144722.9463173788972199,2297402.8535458296537399,144648.8583070586028043}",,,2297328.4621680695563555,144722.9463173788972199
112,hw_conduit,33-474123,,1,,33-474124,,Cond,,6164,,,,sanitary,,,,"{2297402.8535458296537399,144648.8583070586028043,2297469.9977549500763416,144576.088282418291783}",,,2297402.8535458296537399,144648.8583070586028043
113,hw_conduit,33-474124,,1,,36-474066,,Cond,,6166,,,,sanitary,,,,"{2297469.9977549500763416,144576.088282418291783,2297543.6443539098836482,144493.5670961779833306}",,,2297469.9977549500763416,144576.088282418291783
114,hw_conduit,33-474138,,1,,33-474030,,Cond,,12475,,,,sanitary,,,,"{2296868.5677665476687253,144529.2306164181209169,2296882.808784547727555,144510.3311876180523541}",,,2296868.5677665476687253,144529.2306164181209169
115,hw_conduit,33-476061,,1,,33-476089,,Cond,,12637,,,,sanitary,,,,"{2297257.5997342290356755,145573.9487098623067141,2297286.7925028689205647,145504.8268669020326342}",,,2297257.5997342290356755,145573.9487098623067141
116,hw_conduit,33-476082,,1,,33-476083,,Cond,,6180,,,,sanitary,,,,"{2297300.9054743894375861,145201.2803264208196197,2297316.0189214292913675,145205.774175700818887}",,,2297300.9054743894375861,145201.2803264208196197
117,hw_conduit,33-476083,,1,,33-476111,,Cond,,6179,,,,sanitary,,,,"{2297316.0189214292913675,145205.774175700818887,2297387.1815527896396816,145130.7332081805216148}",,,2297316.0189214292913675,145205.774175700818887
118,hw_conduit,33-476088,,1,,33-476094,,Cond,,5151,,,,sanitary,,,,"{2297393.192696469835937,145497.6650422620004974,2297457.0696934298612177,145496.229038021992892}",,,2297393.192696469835937,145497.6650422620004974
119,hw_conduit,33-476089,,1,,33-476088,,Cond,,12638,,,,sanitary,,,,"{2297286.7925028689205647,145504.8268669020326342,2297393.192696469835937,145497.6650422620004974}",,,2297286.7925028689205647,145504.8268669020326342
